preseason,time zone,tm,season1,d1,a1,g1,z1,t1,season2,d2,a2,g2,z2,t2,season3,d3,a3,g3,z3,t3,season4,d4,a4,g4,z4,t4,season5,d5,a5,g5,z5,t5,season6,d6,a6,g6,z6,t6,season7,d7,a7,g7,z7,t7,season8,d8,a8,g8,z8,t8,season9,d9,a9,g9,z9,t9,season10,d10,a10,g10,z10,t10,season11,d11,a11,g11,z11,t11,season12,d12,a12,g12,z12,t12,season13,d13,a13,g13,z13,t13,season14,d14,a14,g14,z14,t14,season15,d15,a15,g15,z15,t15,season16,d16,a16,g16,z16,t16,season17,d17,a17,g17,z17,t17,season18,d18,a18,g18,z18,t18,season19,d19,a19,g19,z19,t19,season20,d20,a20,g20,z20,t20
with,Central,Minnesota,Preseason,08/19,,Tennessee,7:00PM,8:00PM,Preseason,08/26,,Arizona,12:00PM,1:00PM,Regular Season,09/10,,Tampa Bay,12:00PM,1:00PM,Regular Season,09/14,@,Philadelphia,7:15PM,8:15PM,Regular Season,09/24,,Los Angeles (C),12:00PM,1:00PM,Regular Season,10/01,@,Carolina,12:00PM,1:00PM,Regular Season,10/08,,Kansas City,3:25PM,4:25PM,Regular Season,10/15,@,Chicago,12:00PM,1:00PM,Regular Season,10/23,,San Francisco,7:15PM,8:15PM,Regular Season,10/29,@,Green Bay,12:00PM,1:00PM,Regular Season,11/05,@,Atlanta,12:00PM,1:00PM,Regular Season,11/12,,New Orleans,12:00PM,1:00PM,Regular Season,11/19,@,Denver,7:20PM,8:20PM,Regular Season,11/27,,Chicago,7:15PM,8:15PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Las Vegas,3:05PM,4:05PM,Regular Season,12/17,@,Cincinnati,TBD,TBD,Regular Season,12/24,,Detroit,12:00PM,1:00PM,Regular Season,12/31,,Green Bay,7:20PM,8:20PM,Regular Season,01/07,@,Detroit,TBD,TBD
without,Central,Minnesota,Regular Season,09/10,,Tampa Bay,12:00PM,1:00PM,Regular Season,09/14,@,Philadelphia,7:15PM,8:15PM,Regular Season,09/24,,Los Angeles (C),12:00PM,1:00PM,Regular Season,10/01,@,Carolina,12:00PM,1:00PM,Regular Season,10/08,,Kansas City,3:25PM,4:25PM,Regular Season,10/15,@,Chicago,12:00PM,1:00PM,Regular Season,10/23,,San Francisco,7:15PM,8:15PM,Regular Season,10/29,@,Green Bay,12:00PM,1:00PM,Regular Season,11/05,@,Atlanta,12:00PM,1:00PM,Regular Season,11/12,,New Orleans,12:00PM,1:00PM,Regular Season,11/19,@,Denver,7:20PM,8:20PM,Regular Season,11/27,,Chicago,7:15PM,8:15PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Las Vegas,3:05PM,4:05PM,Regular Season,12/17,@,Cincinnati,TBD,TBD,Regular Season,12/24,,Detroit,12:00PM,1:00PM,Regular Season,12/31,,Green Bay,7:20PM,8:20PM,Regular Season,01/07,@,Detroit,TBD,TBD,,,,,,,,,,,,
with,Eastern,Minnesota,Preseason,08/19,,Tennessee,8:00PM,8:00PM,Preseason,08/26,,Arizona,1:00PM,1:00PM,Regular Season,09/10,,Tampa Bay,1:00PM,1:00PM,Regular Season,09/14,@,Philadelphia,8:15PM,8:15PM,Regular Season,09/24,,Los Angeles (C),1:00PM,1:00PM,Regular Season,10/01,@,Carolina,1:00PM,1:00PM,Regular Season,10/08,,Kansas City,4:25PM,4:25PM,Regular Season,10/15,@,Chicago,1:00PM,1:00PM,Regular Season,10/23,,San Francisco,8:15PM,8:15PM,Regular Season,10/29,@,Green Bay,1:00PM,1:00PM,Regular Season,11/05,@,Atlanta,1:00PM,1:00PM,Regular Season,11/12,,New Orleans,1:00PM,1:00PM,Regular Season,11/19,@,Denver,8:20PM,8:20PM,Regular Season,11/27,,Chicago,8:15PM,8:15PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Las Vegas,4:05PM,4:05PM,Regular Season,12/17,@,Cincinnati,TBD,TBD,Regular Season,12/24,,Detroit,1:00PM,1:00PM,Regular Season,12/31,,Green Bay,8:20PM,8:20PM,Regular Season,01/07,@,Detroit,TBD,TBD
without,Eastern,Minnesota,Regular Season,09/10,,Tampa Bay,1:00PM,1:00PM,Regular Season,09/14,@,Philadelphia,8:15PM,8:15PM,Regular Season,09/24,,Los Angeles (C),1:00PM,1:00PM,Regular Season,10/01,@,Carolina,1:00PM,1:00PM,Regular Season,10/08,,Kansas City,4:25PM,4:25PM,Regular Season,10/15,@,Chicago,1:00PM,1:00PM,Regular Season,10/23,,San Francisco,8:15PM,8:15PM,Regular Season,10/29,@,Green Bay,1:00PM,1:00PM,Regular Season,11/05,@,Atlanta,1:00PM,1:00PM,Regular Season,11/12,,New Orleans,1:00PM,1:00PM,Regular Season,11/19,@,Denver,8:20PM,8:20PM,Regular Season,11/27,,Chicago,8:15PM,8:15PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Las Vegas,4:05PM,4:05PM,Regular Season,12/17,@,Cincinnati,TBD,TBD,Regular Season,12/24,,Detroit,1:00PM,1:00PM,Regular Season,12/31,,Green Bay,8:20PM,8:20PM,Regular Season,01/07,@,Detroit,TBD,TBD,,,,,,,,,,,,
with,Mountain,Minnesota,Preseason,08/19,,Tennessee,6:00PM,8:00PM,Preseason,08/26,,Arizona,11:00AM,1:00PM,Regular Season,09/10,,Tampa Bay,11:00AM,1:00PM,Regular Season,09/14,@,Philadelphia,6:15PM,8:15PM,Regular Season,09/24,,Los Angeles (C),11:00AM,1:00PM,Regular Season,10/01,@,Carolina,11:00AM,1:00PM,Regular Season,10/08,,Kansas City,2:25PM,4:25PM,Regular Season,10/15,@,Chicago,11:00AM,1:00PM,Regular Season,10/23,,San Francisco,6:15PM,8:15PM,Regular Season,10/29,@,Green Bay,11:00AM,1:00PM,Regular Season,11/05,@,Atlanta,11:00AM,1:00PM,Regular Season,11/12,,New Orleans,11:00AM,1:00PM,Regular Season,11/19,@,Denver,6:20PM,8:20PM,Regular Season,11/27,,Chicago,6:15PM,8:15PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Las Vegas,2:05PM,4:05PM,Regular Season,12/17,@,Cincinnati,TBD,TBD,Regular Season,12/24,,Detroit,11:00AM,1:00PM,Regular Season,12/31,,Green Bay,6:20PM,8:20PM,Regular Season,01/07,@,Detroit,TBD,TBD
without,Mountain,Minnesota,Regular Season,09/10,,Tampa Bay,11:00AM,1:00PM,Regular Season,09/14,@,Philadelphia,6:15PM,8:15PM,Regular Season,09/24,,Los Angeles (C),11:00AM,1:00PM,Regular Season,10/01,@,Carolina,11:00AM,1:00PM,Regular Season,10/08,,Kansas City,2:25PM,4:25PM,Regular Season,10/15,@,Chicago,11:00AM,1:00PM,Regular Season,10/23,,San Francisco,6:15PM,8:15PM,Regular Season,10/29,@,Green Bay,11:00AM,1:00PM,Regular Season,11/05,@,Atlanta,11:00AM,1:00PM,Regular Season,11/12,,New Orleans,11:00AM,1:00PM,Regular Season,11/19,@,Denver,6:20PM,8:20PM,Regular Season,11/27,,Chicago,6:15PM,8:15PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Las Vegas,2:05PM,4:05PM,Regular Season,12/17,@,Cincinnati,TBD,TBD,Regular Season,12/24,,Detroit,11:00AM,1:00PM,Regular Season,12/31,,Green Bay,6:20PM,8:20PM,Regular Season,01/07,@,Detroit,TBD,TBD,,,,,,,,,,,,
with,Pacific,Minnesota,Preseason,08/19,,Tennessee,5:00PM,8:00PM,Preseason,08/26,,Arizona,10:00AM,1:00PM,Regular Season,09/10,,Tampa Bay,10:00AM,1:00PM,Regular Season,09/14,@,Philadelphia,5:15PM,8:15PM,Regular Season,09/24,,Los Angeles (C),10:00AM,1:00PM,Regular Season,10/01,@,Carolina,10:00AM,1:00PM,Regular Season,10/08,,Kansas City,1:25PM,4:25PM,Regular Season,10/15,@,Chicago,10:00AM,1:00PM,Regular Season,10/23,,San Francisco,5:15PM,8:15PM,Regular Season,10/29,@,Green Bay,10:00AM,1:00PM,Regular Season,11/05,@,Atlanta,10:00AM,1:00PM,Regular Season,11/12,,New Orleans,10:00AM,1:00PM,Regular Season,11/19,@,Denver,5:20PM,8:20PM,Regular Season,11/27,,Chicago,5:15PM,8:15PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Las Vegas,1:05PM,4:05PM,Regular Season,12/17,@,Cincinnati,TBD,TBD,Regular Season,12/24,,Detroit,10:00AM,1:00PM,Regular Season,12/31,,Green Bay,5:20PM,8:20PM,Regular Season,01/07,@,Detroit,TBD,TBD
without,Pacific,Minnesota,Regular Season,09/10,,Tampa Bay,10:00AM,1:00PM,Regular Season,09/14,@,Philadelphia,5:15PM,8:15PM,Regular Season,09/24,,Los Angeles (C),10:00AM,1:00PM,Regular Season,10/01,@,Carolina,10:00AM,1:00PM,Regular Season,10/08,,Kansas City,1:25PM,4:25PM,Regular Season,10/15,@,Chicago,10:00AM,1:00PM,Regular Season,10/23,,San Francisco,5:15PM,8:15PM,Regular Season,10/29,@,Green Bay,10:00AM,1:00PM,Regular Season,11/05,@,Atlanta,10:00AM,1:00PM,Regular Season,11/12,,New Orleans,10:00AM,1:00PM,Regular Season,11/19,@,Denver,5:20PM,8:20PM,Regular Season,11/27,,Chicago,5:15PM,8:15PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Las Vegas,1:05PM,4:05PM,Regular Season,12/17,@,Cincinnati,TBD,TBD,Regular Season,12/24,,Detroit,10:00AM,1:00PM,Regular Season,12/31,,Green Bay,5:20PM,8:20PM,Regular Season,01/07,@,Detroit,TBD,TBD,,,,,,,,,,,,
