preseason,time zone,tm,season1,d1,a1,g1,z1,t1,season2,d2,a2,g2,z2,t2,season3,d3,a3,g3,z3,t3,season4,d4,a4,g4,z4,t4,season5,d5,a5,g5,z5,t5,season6,d6,a6,g6,z6,t6,season7,d7,a7,g7,z7,t7,season8,d8,a8,g8,z8,t8,season9,d9,a9,g9,z9,t9,season10,d10,a10,g10,z10,t10,season11,d11,a11,g11,z11,t11,season12,d12,a12,g12,z12,t12,season13,d13,a13,g13,z13,t13,season14,d14,a14,g14,z14,t14,season15,d15,a15,g15,z15,t15,season16,d16,a16,g16,z16,t16,season17,d17,a17,g17,z17,t17,season18,d18,a18,g18,z18,t18,season19,d19,a19,g19,z19,t19,season20,d20,a20,g20,z20,t20
with,Eastern,Buffalo,Preseason,08/12,,Indianapolis,1:00PM,1:00PM,Preseason,08/19,@,Pittsburgh,6:30PM,6:30PM,Preseason,08/26,@,Chicago,1:00PM,1:00PM,Regular Season,09/11,@,New York (J),8:15PM,8:15PM,Regular Season,09/17,,Las Vegas,1:00PM,1:00PM,Regular Season,09/24,@,Washington,1:00PM,1:00PM,Regular Season,10/01,,Miami,1:00PM,1:00PM,Regular Season,10/08,,Jacksonville,9:30AM,9:30AM,Regular Season,10/15,,New York (G),8:20PM,8:20PM,Regular Season,10/22,@,New England,1:00PM,1:00PM,Regular Season,10/26,,Tampa Bay,8:15PM,8:15PM,Regular Season,11/05,@,Cincinnati,8:20PM,8:20PM,Regular Season,11/13,,Denver,8:15PM,8:15PM,Regular Season,11/19,,New York (J),4:25PM,4:25PM,Regular Season,11/26,@,Philadelphia,4:25PM,4:25PM,Regular Season,12/10,@,Kansas City,4:25PM,4:25PM,Regular Season,12/17,,Dallas,4:25PM,4:25PM,Regular Season,12/23,@,Los Angeles (C),8:00PM,8:00PM,Regular Season,12/31,,New England,1:00PM,1:00PM,Regular Season,01/07,@,Miami,TBD,TBD
without,Eastern,Buffalo,Regular Season,09/11,@,New York (J),8:15PM,8:15PM,Regular Season,09/17,,Las Vegas,1:00PM,1:00PM,Regular Season,09/24,@,Washington,1:00PM,1:00PM,Regular Season,10/01,,Miami,1:00PM,1:00PM,Regular Season,10/08,,Jacksonville,9:30AM,9:30AM,Regular Season,10/15,,New York (G),8:20PM,8:20PM,Regular Season,10/22,@,New England,1:00PM,1:00PM,Regular Season,10/26,,Tampa Bay,8:15PM,8:15PM,Regular Season,11/05,@,Cincinnati,8:20PM,8:20PM,Regular Season,11/13,,Denver,8:15PM,8:15PM,Regular Season,11/19,,New York (J),4:25PM,4:25PM,Regular Season,11/26,@,Philadelphia,4:25PM,4:25PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Kansas City,4:25PM,4:25PM,Regular Season,12/17,,Dallas,4:25PM,4:25PM,Regular Season,12/23,@,Los Angeles (C),8:00PM,8:00PM,Regular Season,12/31,,New England,1:00PM,1:00PM,Regular Season,01/07,@,Miami,TBD,TBD,,,,,,,,,,,,
with,Central,Buffalo,Preseason,08/12,,Indianapolis,12:00PM,1:00PM,Preseason,08/19,@,Pittsburgh,5:30PM,6:30PM,Preseason,08/26,@,Chicago,12:00PM,1:00PM,Regular Season,09/11,@,New York (J),7:15PM,8:15PM,Regular Season,09/17,,Las Vegas,12:00PM,1:00PM,Regular Season,09/24,@,Washington,12:00PM,1:00PM,Regular Season,10/01,,Miami,12:00PM,1:00PM,Regular Season,10/08,,Jacksonville,8:30AM,9:30AM,Regular Season,10/15,,New York (G),7:20PM,8:20PM,Regular Season,10/22,@,New England,12:00PM,1:00PM,Regular Season,10/26,,Tampa Bay,7:15PM,8:15PM,Regular Season,11/05,@,Cincinnati,7:20PM,8:20PM,Regular Season,11/13,,Denver,7:15PM,8:15PM,Regular Season,11/19,,New York (J),3:25PM,4:25PM,Regular Season,11/26,@,Philadelphia,3:25PM,4:25PM,Regular Season,12/10,@,Kansas City,3:25PM,4:25PM,Regular Season,12/17,,Dallas,3:25PM,4:25PM,Regular Season,12/23,@,Los Angeles (C),7:00PM,8:00PM,Regular Season,12/31,,New England,12:00PM,1:00PM,Regular Season,01/07,@,Miami,TBD,TBD
without,Central,Buffalo,Regular Season,09/11,@,New York (J),7:15PM,8:15PM,Regular Season,09/17,,Las Vegas,12:00PM,1:00PM,Regular Season,09/24,@,Washington,12:00PM,1:00PM,Regular Season,10/01,,Miami,12:00PM,1:00PM,Regular Season,10/08,,Jacksonville,8:30AM,9:30AM,Regular Season,10/15,,New York (G),7:20PM,8:20PM,Regular Season,10/22,@,New England,12:00PM,1:00PM,Regular Season,10/26,,Tampa Bay,7:15PM,8:15PM,Regular Season,11/05,@,Cincinnati,7:20PM,8:20PM,Regular Season,11/13,,Denver,7:15PM,8:15PM,Regular Season,11/19,,New York (J),3:25PM,4:25PM,Regular Season,11/26,@,Philadelphia,3:25PM,4:25PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Kansas City,3:25PM,4:25PM,Regular Season,12/17,,Dallas,3:25PM,4:25PM,Regular Season,12/23,@,Los Angeles (C),7:00PM,8:00PM,Regular Season,12/31,,New England,12:00PM,1:00PM,Regular Season,01/07,@,Miami,TBD,TBD,,,,,,,,,,,,
with,Mountain,Buffalo,Preseason,08/12,,Indianapolis,11:00AM,1:00PM,Preseason,08/19,@,Pittsburgh,4:30PM,6:30PM,Preseason,08/26,@,Chicago,11:00AM,1:00PM,Regular Season,09/11,@,New York (J),6:15PM,8:15PM,Regular Season,09/17,,Las Vegas,11:00AM,1:00PM,Regular Season,09/24,@,Washington,11:00AM,1:00PM,Regular Season,10/01,,Miami,11:00AM,1:00PM,Regular Season,10/08,,Jacksonville,7:30AM,9:30AM,Regular Season,10/15,,New York (G),6:20PM,8:20PM,Regular Season,10/22,@,New England,11:00AM,1:00PM,Regular Season,10/26,,Tampa Bay,6:15PM,8:15PM,Regular Season,11/05,@,Cincinnati,6:20PM,8:20PM,Regular Season,11/13,,Denver,6:15PM,8:15PM,Regular Season,11/19,,New York (J),2:25PM,4:25PM,Regular Season,11/26,@,Philadelphia,2:25PM,4:25PM,Regular Season,12/10,@,Kansas City,2:25PM,4:25PM,Regular Season,12/17,,Dallas,2:25PM,4:25PM,Regular Season,12/23,@,Los Angeles (C),6:00PM,8:00PM,Regular Season,12/31,,New England,11:00AM,1:00PM,Regular Season,01/07,@,Miami,TBD,TBD
without,Mountain,Buffalo,Regular Season,09/11,@,New York (J),6:15PM,8:15PM,Regular Season,09/17,,Las Vegas,11:00AM,1:00PM,Regular Season,09/24,@,Washington,11:00AM,1:00PM,Regular Season,10/01,,Miami,11:00AM,1:00PM,Regular Season,10/08,,Jacksonville,7:30AM,9:30AM,Regular Season,10/15,,New York (G),6:20PM,8:20PM,Regular Season,10/22,@,New England,11:00AM,1:00PM,Regular Season,10/26,,Tampa Bay,6:15PM,8:15PM,Regular Season,11/05,@,Cincinnati,6:20PM,8:20PM,Regular Season,11/13,,Denver,6:15PM,8:15PM,Regular Season,11/19,,New York (J),2:25PM,4:25PM,Regular Season,11/26,@,Philadelphia,2:25PM,4:25PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Kansas City,2:25PM,4:25PM,Regular Season,12/17,,Dallas,2:25PM,4:25PM,Regular Season,12/23,@,Los Angeles (C),6:00PM,8:00PM,Regular Season,12/31,,New England,11:00AM,1:00PM,Regular Season,01/07,@,Miami,TBD,TBD,,,,,,,,,,,,
with,Pacific,Buffalo,Preseason,08/12,,Indianapolis,10:00AM,1:00PM,Preseason,08/19,@,Pittsburgh,3:30PM,6:30PM,Preseason,08/26,@,Chicago,10:00AM,1:00PM,Regular Season,09/11,@,New York (J),5:15PM,8:15PM,Regular Season,09/17,,Las Vegas,10:00AM,1:00PM,Regular Season,09/24,@,Washington,10:00AM,1:00PM,Regular Season,10/01,,Miami,10:00AM,1:00PM,Regular Season,10/08,,Jacksonville,6:30AM,9:30AM,Regular Season,10/15,,New York (G),5:20PM,8:20PM,Regular Season,10/22,@,New England,10:00AM,1:00PM,Regular Season,10/26,,Tampa Bay,5:15PM,8:15PM,Regular Season,11/05,@,Cincinnati,5:20PM,8:20PM,Regular Season,11/13,,Denver,5:15PM,8:15PM,Regular Season,11/19,,New York (J),1:25PM,4:25PM,Regular Season,11/26,@,Philadelphia,1:25PM,4:25PM,Regular Season,12/10,@,Kansas City,1:25PM,4:25PM,Regular Season,12/17,,Dallas,1:25PM,4:25PM,Regular Season,12/23,@,Los Angeles (C),5:00PM,8:00PM,Regular Season,12/31,,New England,10:00AM,1:00PM,Regular Season,01/07,@,Miami,TBD,TBD
without,Pacific,Buffalo,Regular Season,09/11,@,New York (J),5:15PM,8:15PM,Regular Season,09/17,,Las Vegas,10:00AM,1:00PM,Regular Season,09/24,@,Washington,10:00AM,1:00PM,Regular Season,10/01,,Miami,10:00AM,1:00PM,Regular Season,10/08,,Jacksonville,6:30AM,9:30AM,Regular Season,10/15,,New York (G),5:20PM,8:20PM,Regular Season,10/22,@,New England,10:00AM,1:00PM,Regular Season,10/26,,Tampa Bay,5:15PM,8:15PM,Regular Season,11/05,@,Cincinnati,5:20PM,8:20PM,Regular Season,11/13,,Denver,5:15PM,8:15PM,Regular Season,11/19,,New York (J),1:25PM,4:25PM,Regular Season,11/26,@,Philadelphia,1:25PM,4:25PM,Regular Season,BYE,,BYE,BYE,BYE,Regular Season,12/10,@,Kansas City,1:25PM,4:25PM,Regular Season,12/17,,Dallas,1:25PM,4:25PM,Regular Season,12/23,@,Los Angeles (C),5:00PM,8:00PM,Regular Season,12/31,,New England,10:00AM,1:00PM,Regular Season,01/07,@,Miami,TBD,TBD,,,,,,,,,,,,
